Sub-basin,MEAN
Asagi sakarya Alt Havzasi,3.230787302
Ankara Alt Havzasi,3.148701574
Goksu Alt Havzasi,2.815230879
Orta Sakarya Alt Havzasi,2.543102312
Porsuk Alt Havzasi,2.188783067
Yukari Sakarya Alt Havzasi,2.337390245
