Dam Name,Basin Name,Sub-basin Name,Elevation_m,Area_m2,Volume_m3
Çaml?dere,A,A-1,999.7,754.2,1226
Kav?akkaya,A,A-2,1122.3,309.2,80.8
Çubuk 1,B,B-1,907.6,834.7,5.6
Çubuk 2,B,B-2,1115.3,180.2,22.4
