Dam,Basin,Sub-Basin,Year,Area_km2,Slope_m_per_m,USDA-SCS_SIO,CEM_SIO,Average_SIO,Yield_t_yr,Transported_Volume_m3_yr,Specific_Yield_m3_yr_km2
Camlidere,A,1,2026,754.2,0.22,0.24606319455759976,0.48553283449197915,0.36579801452478944,89132.53107554046,68563.48544272344,90.90889080180779
Kavakkaya,A,2,2026,309.2,0.23,0.2714212415394471,0.4855029630867281,0.3784621023130876,36846.257597449396,28343.27507496107,91.66647825019751
Cubuk 1,B,3,2026,834.7,0.09,0.24333345951868607,0.4858005134732653,0.3645669864959757,85668.61965312638,65898.9381947126,78.9492490651882
Cubuk 2,B,4,2026,180.2,0.16,0.28802961875555366,0.48568423945550965,0.38685692910553166,17728.377849803386,13637.213730617988,75.67821160165366
xyz,C,5,2026,500.0,0.2,0.25744441555809133,0.4855886042843288,0.3715165099212101,40658.45230132411,31275.732539480086,62.55146507896017
xyz,C,6,2026,500.0,0.2,0.25744441555809133,0.4855886042843288,0.3715165099212101,43418.953307314114,33399.194851780085,66.79838970356018
